name,status,nodeNumber,availabilityZone.id,availabilityZone.zone,availabilityZone.virtType,username,projectName,neutronManagementNetworkName,nodeGroups.0.id,nodeGroups.0.name,nodeGroups.0.nodeProcesses.0,nodeGroups.0.nodeProcesses.1,nodeGroups.0.nodeProcesses.2,nodeGroups.0.availabilityZone,nodeGroups.0.instances.0.instanceName,nodeGroups.0.instances.0.instanceId,nodeGroups.0.instances.0.internalIp,nodeGroups.0.instances.0.managementIp,nodeGroups.0.instances.0.id,nodeGroups.0.nodeGroupTemplateId,nodeGroups.0.count,nodeGroups.0.flavorId,nodeGroups.0.cpu,nodeGroups.0.ram,nodeGroups.0.disk,nodeGroups.1.id,nodeGroups.1.name,nodeGroups.1.nodeProcesses.0,nodeGroups.1.nodeProcesses.1,nodeGroups.1.nodeProcesses.2,nodeGroups.1.availabilityZone,nodeGroups.1.instances.0.instanceName,nodeGroups.1.instances.0.instanceId,nodeGroups.1.instances.0.internalIp,nodeGroups.1.instances.0.managementIp,nodeGroups.1.instances.0.id,nodeGroups.1.nodeGroupTemplateId,nodeGroups.1.count,nodeGroups.1.flavorId,nodeGroups.1.cpu,nodeGroups.1.ram,nodeGroups.1.disk,nodeGroups.2.id,nodeGroups.2.name,nodeGroups.2.nodeProcesses.0,nodeGroups.2.nodeProcesses.1,nodeGroups.2.availabilityZone,nodeGroups.2.instances.0.instanceName,nodeGroups.2.instances.0.instanceId,nodeGroups.2.instances.0.internalIp,nodeGroups.2.instances.0.managementIp,nodeGroups.2.instances.0.id,nodeGroups.2.nodeGroupTemplateId,nodeGroups.2.count,nodeGroups.2.flavorId,nodeGroups.2.cpu,nodeGroups.2.ram,nodeGroups.2.disk,realIp,nodeGroups.2.nodeProcesses.2
djgmq018,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jyt-131-0-24,3c7503c4-cf53-4b30-9e08-2fa80c5e294e,rabbitmq-master-1-2a9c0,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq018-rabbitmq-master-1-2a9c0-0,09ca1134-f4a1-4cb5-95ad-edbd42dbf668,10.148.131.157,10.148.131.157,14dcb818-17df-4474-bc80-f0ffb1b06d40,adcacb47-5c2c-4e2f-bd3e-e119bfddf124,1,8e02330e-14bc-4e72-9cf5-e4feb8e3f96b,4,12288,100,62588704-009c-4349-8753-427393c35ab3,rabbitmq-master-2-79b14,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq018-rabbitmq-master-2-79b14-0,2174aad6-ecde-4f6c-80f8-a5cc8bd943d0,10.148.131.49,10.148.131.49,3a17ba26-6064-431f-8d28-2e41fcd42b59,ed23eea2-d97c-4a72-aacc-3bfd2352c78c,1,8e02330e-14bc-4e72-9cf5-e4feb8e3f96b,4,12288,100,d1c24c09-b21c-47a4-8317-5f294ddff8e2,rabbitmq-core-1-7c54e,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq018-rabbitmq-core-1-7c54e-0,3403302b-23ac-41fc-beac-921c4d8652ee,10.148.131.181,10.148.131.181,8f471b9b-e8c9-4232-857c-8dfbe5a9f515,ca3f2662-8e6c-4d85-a416-e53c4aa398ef,1,8e02330e-14bc-4e72-9cf5-e4feb8e3f96b,4,12288,100,10.148.131.28,
djgmq036,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jyt-131-0-24,a40bb7d2-06e0-4c59-b972-a084ab568003,rabbitmq-core-1-dff13,AMBARI_AGENT,RABBITMQ,,HLW_HG4_Domain01,djgmq036-rabbitmq-core-1-dff13-0,36429006-b348-4220-a7b6-20faa397117a,10.148.131.143,10.148.131.143,f8387c2e-b86c-43ef-a2dd-21810b7538de,ed669616-2025-49cb-b3b4-d5642591cfcb,1,7a44b5f8-255d-4bf8-ba6e-8e68cf9afeda,4,16384,100,fb01a952-b598-422d-a3f2-4b3f8d0dae71,rabbitmq-master-1-36ab9,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq036-rabbitmq-master-1-36ab9-0,46f1d040-0fae-4a97-8cc7-17d34f1b6f66,10.148.131.186,10.148.131.186,5494a962-ddf4-42dd-87b1-6023b02806fa,b92e97c1-5c83-4d73-a82d-ab43d37f3eb1,1,7a44b5f8-255d-4bf8-ba6e-8e68cf9afeda,4,16384,100,0e3313ff-c6ff-44fe-bc20-6bf8e2b1a7a0,rabbitmq-master-2-2308e,AMBARI_AGENT,AMBARI_SLAVE,HLW_HG4_Domain01,djgmq036-rabbitmq-master-2-2308e-0,615a7e4c-e0d4-457a-9f4b-5302c6fea170,10.148.131.174,10.148.131.174,85684684-e9e4-4955-a962-72064df1c249,97b872a1-b701-43e4-b39f-0814d007d085,1,7a44b5f8-255d-4bf8-ba6e-8e68cf9afeda,4,16384,100,10.148.131.70,RABBITMQ
djgmq050,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,8501dbab-e5a9-44ec-8bf9-716e5482e7a7,rabbitmq-master-1-9be3b,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq050-rabbitmq-master-1-9be3b-0,26cc7293-426a-4044-b922-e4a7e0f54e6a,10.148.132.87,10.148.132.87,9203e248-cdec-44dd-a130-d87f95ab679a,2ad9e920-7bd9-4fb3-8125-bc11f43c40d5,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,85b46a32-b5e3-402c-8464-57da3bb9b52c,rabbitmq-master-2-8022d,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq050-rabbitmq-master-2-8022d-0,18663789-44e9-45a7-88c9-9095eef80525,10.148.132.118,10.148.132.118,9d315726-58b4-486e-8967-45a24c01271e,ba73e38d-3ef5-47bc-b8c0-41fa4a817852,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,a97d608b-d2bb-4c7f-8f24-68844a234a07,rabbitmq-core-1-75861,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq050-rabbitmq-core-1-75861-0,3c98cbb6-39e1-4f89-a7a1-45395af48fa6,10.148.132.86,10.148.132.86,c1fd5431-4224-463a-a233-67ab5e8fc8af,f04ff89b-bc62-4572-9947-ade0b6efd95d,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.5,
djgmq052,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,9e90c772-6c6b-47e1-afbb-72cee1711e34,rabbitmq-master-1-10099,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq052-rabbitmq-master-1-10099-0,88a92140-e97f-480a-80db-06babfa1ffd5,10.148.132.114,10.148.132.114,e3368ea4-597d-4bab-8484-5543147df887,ce37a5c3-3635-49bc-bf48-e507898ab1f5,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,9da71ef5-690c-46ab-b5e6-f744c74cb813,rabbitmq-master-2-f5aa1,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq052-rabbitmq-master-2-f5aa1-0,7612c810-c6dd-4d4b-95d7-fbe3de28de27,10.148.132.40,10.148.132.40,807a84ae-6318-49d8-bc35-36b531334073,5177defc-3d9f-4e38-8cf1-70dae5ca9b5f,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,f01e0c1f-5355-4e4a-8561-091c5c7e47dd,rabbitmq-core-1-30c21,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq052-rabbitmq-core-1-30c21-0,6763b8e7-dba2-4ba5-b29d-de0fbbd61fb8,10.148.132.107,10.148.132.107,41587ef0-1e62-4e4f-b914-87152f8564e0,08b19f07-3cf3-416d-9896-37fd548a71bf,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.11,
djgmq056,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,5e60b741-c1d0-460e-aa97-1b354e9dfadd,rabbitmq-master-1-6f8dd,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq056-rabbitmq-master-1-6f8dd-0,05543258-81b8-457b-b360-0f05b0ba3d95,10.148.132.105,10.148.132.105,46ea6aa8-d5b6-4594-849b-fc38c37fd7b6,528f41bf-8385-4c36-8c63-404b10173a08,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,f6a4ea0b-7551-4f40-a14c-a326af6cc4d4,rabbitmq-master-2-586b0,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq056-rabbitmq-master-2-586b0-0,3d3b2618-1808-42c7-badc-1e60c033b8d3,10.148.132.23,10.148.132.23,f9a93182-a6a2-477d-9d4d-ac05b146ea77,77c5fcf7-5189-44aa-a9b7-4a23483292c9,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,bbbadcbe-b269-4b12-a6c9-2ba66207572b,rabbitmq-core-1-d7632,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq056-rabbitmq-core-1-d7632-0,c28967f1-27ad-4eba-8413-bc0f949a4bba,10.148.132.29,10.148.132.29,7fe8e4d1-ae79-4b5e-a746-01cb4a141ae8,3e9cc979-be7d-43ba-b155-7b91a0da079f,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.10,
djgmq055,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,a2d7d404-cfaa-42e4-a400-636b2ab4dc7a,rabbitmq-master-1-f6bdc,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq055-rabbitmq-master-1-f6bdc-0,91fb0c29-935d-40fc-84c7-81b165812afe,10.148.132.83,10.148.132.83,7c48bd03-983d-4b71-a5e3-b9d2806a58de,fd06dadc-b709-4ad7-847d-f65d81fcff53,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,952e7664-ba4e-4854-9dab-f9c98a90c987,rabbitmq-master-2-797e1,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq055-rabbitmq-master-2-797e1-0,eba11062-12b6-4eda-afc0-1fbb2a39f8ca,10.148.132.125,10.148.132.125,0fdc6b4f-15f8-4d2f-8a97-cebf55441242,cddc6ec4-b7b8-496e-9d95-947952246fb3,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,6f523783-d326-4f94-b599-6f294a565e3f,rabbitmq-core-1-ea1fa,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq055-rabbitmq-core-1-ea1fa-0,e490e7da-7fe4-4fa0-9cc8-f4e73b6f24dd,10.148.132.43,10.148.132.43,b9883d8e-7322-4a82-b8cd-b0ef599fb646,e360f900-ff59-4302-b487-56cb236dc54c,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.8,
djgmq054,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,c7757514-b159-4da5-997f-92896a286a12,rabbitmq-master-1-38d46,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq054-rabbitmq-master-1-38d46-0,c7b22e9a-e869-4f7a-b874-b51422fb5bc2,10.148.132.49,10.148.132.49,625b731e-8373-4212-843a-83b3cf95fd04,21d22400-e8dd-492f-8d02-3e3aa96d1dee,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,409a1c08-0bb7-4c41-bffa-e0f010cf9321,rabbitmq-master-2-57684,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq054-rabbitmq-master-2-57684-0,45243580-d039-40db-833b-257dba97eb6f,10.148.132.54,10.148.132.54,8bd17f46-0cae-4d8f-98ad-733016dd3136,f62e7bc0-6dd1-4b15-80c8-2341e14ad618,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,9f6e7450-b128-4483-96c9-4e3f919e8728,rabbitmq-core-1-dfbe2,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq054-rabbitmq-core-1-dfbe2-0,27f2bad8-08e2-4d85-97c0-4d1c146dd741,10.148.132.64,10.148.132.64,29274dff-75bb-492a-b07f-c1e55b17d517,6a5f57be-b94e-41a9-aee4-e95293561a12,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.7,
djgmq051,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,e82a9566-de74-49af-a865-e82113b130b0,rabbitmq-core-1-2a1c6,AMBARI_AGENT,RABBITMQ,,HLW_HG4_Domain01,djgmq051-rabbitmq-core-1-2a1c6-0,fcdeee10-6802-4fec-9a0a-da5c55ef5495,10.148.132.24,10.148.132.24,a5bcc53c-7c78-42c5-8e8a-8703103fac0b,c53fb892-9ce2-4e35-bf2a-89a59a9f5bc7,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,a4aebf73-eb45-42f9-b1cd-e875959e8490,rabbitmq-master-2-9ac85,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq051-rabbitmq-master-2-9ac85-0,d4168d1d-3572-4ccd-aca4-9268dcc39e95,10.148.132.28,10.148.132.28,175487c5-776a-4d57-8d43-9156ca6ef723,84542fca-05e1-4529-b652-dbd05ed48926,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,d1a9bed0-06f9-4b99-8b7f-daa9f935e0b2,rabbitmq-master-1-5e11d,AMBARI,AMBARI_AGENT,HLW_HG4_Domain01,djgmq051-rabbitmq-master-1-5e11d-0,46e72446-a2b7-47eb-9e56-9e074ddd55be,10.148.132.30,10.148.132.30,978c2635-d025-4594-92a1-8f585afd202c,23af90f0-68ac-4da7-beb2-961d88c686e7,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.6,RABBITMQ
djgmq047,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,ba086607-1c41-4e7d-98a7-c327abb7167a,rabbitmq-master-1-3365e,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq047-rabbitmq-master-1-3365e-0,63ef0248-b5b0-42e3-b6e5-d922d84aa9e3,10.148.132.69,10.148.132.69,dc54d6a9-c021-4231-a477-a429f1df295a,99bfdf2a-9ddb-45fd-bc1c-75741b1893da,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,c511ff0c-3278-4fa8-9e10-aa2eaa3b6dfb,rabbitmq-master-2-ba7fe,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq047-rabbitmq-master-2-ba7fe-0,bb538878-548a-47d8-94d5-2139548a1249,10.148.132.34,10.148.132.34,85b55014-036f-433a-8b13-9f0517c73c4e,67a15f24-27dc-4375-a601-41c3aa9e66e4,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,a5e5b78f-1725-4df2-bb4c-17b55f4728f7,rabbitmq-core-1-5db27,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq047-rabbitmq-core-1-5db27-0,166ab9e8-4e21-4ca0-b49d-1166735a6efc,10.148.132.103,10.148.132.103,1bc8b6ac-43fa-4483-b84a-37045ef6b67e,fb9612da-f6b7-4a67-b17f-b1c28c82827c,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.4,
djgmq046,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,2dafa6e4-c50e-4156-9ddd-2756de6e2ed0,rabbitmq-core-1-da9bf,AMBARI_AGENT,RABBITMQ,,HLW_HG4_Domain01,djgmq046-rabbitmq-core-1-da9bf-0,e07ccdf6-3aeb-4bd5-b621-e47142480ed6,10.148.132.96,10.148.132.96,5a2cac50-093c-4f06-ad7e-c523787f4a7a,698db0ff-ec81-4709-8be4-86aeb838f46e,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,fee190eb-d592-4ae1-baee-166215d336dc,rabbitmq-master-1-4dd36,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq046-rabbitmq-master-1-4dd36-0,504c9d03-761a-4dfd-a522-7ebaaa9f6f69,10.148.132.9,10.148.132.9,9f33d3a2-e667-45f8-82d0-e139080bdc88,1255a126-d8d1-456b-8d49-3c3bc66d60fc,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,209a4df7-a0e0-453b-9257-7fa54e8370d9,rabbitmq-master-2-ec877,AMBARI_AGENT,AMBARI_SLAVE,HLW_HG4_Domain01,djgmq046-rabbitmq-master-2-ec877-0,3034dc55-81b1-4f98-9737-cd66aac879d9,10.148.132.55,10.148.132.55,c0a83373-f14a-4a69-bf10-8aca1055f3f2,6e37f604-63a0-414e-8d8c-d626c3ed353b,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.3,RABBITMQ
djqmg049,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jyt-131-0-24,da381dbb-230c-49fa-89fb-83f3029614db,rabbitmq-master-1-0ed31,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djqmg049-rabbitmq-master-1-0ed31-0,67446b71-a35e-4509-9358-c14152df5fdc,10.148.131.163,10.148.131.163,652928d8-65c8-43b5-9f06-0078059b0bf6,b58696a3-9983-4a64-afc1-983979523ab7,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,a2bbdabb-adc9-4a76-a6ab-767310c06a8e,rabbitmq-master-2-3ddae,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djqmg049-rabbitmq-master-2-3ddae-0,5328fcc1-2bd3-4625-b453-dac8c85f2f28,10.148.131.164,10.148.131.164,b908b20b-18d8-4e4c-9f3e-969f216a5d58,c07116cf-4073-4632-8a0f-2f68a1778ade,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,5e287727-8736-43dd-9b23-7708cc99c168,rabbitmq-core-1-607f1,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djqmg049-rabbitmq-core-1-607f1-0,790c0876-8f10-4c91-9f9e-0e38eac3bf62,10.148.131.169,10.148.131.169,9d0214fc-6bac-4a60-bf94-6762ac845a28,d8e1fcda-f13d-4e2d-b2c9-76c4cfad143d,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.131.160,
djgmq053,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jst131-025,e0a3ed8a-913d-4f73-84d8-95d239150242,rabbitmq-master-2-273e4,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq053-rabbitmq-master-2-273e4-0,d445331e-bba3-4455-a990-d0580c37b347,10.148.132.59,10.148.132.59,4dfb8ca9-770a-40ee-86d1-90d90c7df9df,1e942c4f-809d-41c3-b78e-766b944e9c05,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,e58b3622-3de2-43ed-aea2-842cf464241b,rabbitmq-core-1-72020,AMBARI_AGENT,RABBITMQ,,HLW_HG4_Domain01,djgmq053-rabbitmq-core-1-72020-0,538c857c-1d41-45b9-b92f-950c1b1d7398,10.148.132.126,10.148.132.126,dd54e5d8-3743-45f1-b4ce-8e139eadcbc1,4ce1b81e-5ff8-46d8-9da0-fc4ad3dfe38c,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,a771c8a9-4fb6-42d5-9e58-f7b67ab68c34,rabbitmq-master-1-16fb7,AMBARI,AMBARI_AGENT,HLW_HG4_Domain01,djgmq053-rabbitmq-master-1-16fb7-0,776308e7-66ab-4ff0-b1b0-3567bb848a87,10.148.132.121,10.148.132.121,04220589-74e4-49e7-86dc-f484514b0c9b,ae6a9044-86f4-4239-97a1-dd82b570df04,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.132.2,RABBITMQ
djgmq048,ACTIVE,3,f4f24bc9-5c6c-4880-a995-699489491f3d,HLW_HG4_Domain01,CAS,sztzyjy,hlw-海南省教育厅,jyt-131-0-24,817295a0-f8df-4b64-ae36-5148046cd4f7,rabbitmq-master-1-f4fe4,AMBARI,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq048-rabbitmq-master-1-f4fe4-0,a1a62a48-fa1c-48b9-8332-59ab09fc0111,10.148.131.125,10.148.131.125,cb22c887-3664-4e41-a201-38abd8ddbba9,2e5c6b3b-0444-4f97-afb9-8057974f127e,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,9f46a020-2b96-474b-a6cc-486d1c726cbb,rabbitmq-master-2-15e18,AMBARI_AGENT,AMBARI_SLAVE,RABBITMQ,HLW_HG4_Domain01,djgmq048-rabbitmq-master-2-15e18-0,fe7a0aaf-b3ac-4355-92d2-a18dee4ae8e3,10.148.131.132,10.148.131.132,1ae13436-0114-4674-aef5-9f9b127a4eae,7cfc99be-edac-4206-8362-41f1ade6c388,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,fa433183-2493-4dff-bf04-2ddcf7d30547,rabbitmq-core-1-3c725,AMBARI_AGENT,RABBITMQ,HLW_HG4_Domain01,djgmq048-rabbitmq-core-1-3c725-0,d64cbeab-4630-49ff-aaae-b870e8380d0f,10.148.131.138,10.148.131.138,7fef379d-2d33-44a7-959e-4591d0314a7d,3dd3e2ed-fbd2-4b15-bcc2-58fe618c0f4c,1,2ab9156e-04fe-4b17-95d9-911d0df7ab39,8,16384,100,10.148.131.120,
